State/Province,Total_Order,Total_Units,Total_Sales,Total_Gross_Profit,Order_Share(%),Unit_Share(%),Revenue_Share(%),Profit_Share(%),Potential_Congestion_Risk
New York,942,4224,15541.03,10222.44,11.018832612001404,10.927717700626067,10.961089090468343,10.939783482515507,High Load
Newfoundland and Labrador,5,45,162.0,112.5,0.05848637267516669,0.11641744709473792,0.11425860658243832,0.12039450872619399,Normal Load
North Carolina,216,983,3450.86,2331.16,2.5266112995672008,2.543074455425053,2.4338916982165006,2.494745448552483,Normal Load
North Dakota,5,30,109.66,73.96000000000001,0.05848637267516669,0.07761163139649196,0.07734320245574189,0.07915002547012719,Normal Load
Nova Scotia,6,26,87.5,56.900000000000006,0.07018364721020003,0.0672634138769597,0.061713753555329334,0.06089286708018168,Normal Load
Ohio,392,1759,6768.95,4413.03,4.585331617733068,4.550628654214312,4.774140710038246,4.72270736750183,Normal Load
Oklahoma,56,247,877.65,595.91,0.6550473739618669,0.6390024318311172,0.6190065806609691,0.6377270372891223,Normal Load
Ontario,41,234,814.57,542.57,0.4795882559363669,0.6053707248926373,0.5745162540978814,0.580643987551743,Normal Load
Oregon,105,499,1920.15,1253.11,1.2282138261785005,1.2909401355616494,1.3542818730201789,1.341045002932275,Normal Load
Pennsylvania,487,2153,8027.03,5225.47,5.696572698561235,5.569928079888239,5.661464585156974,5.592159053453022,High Load
Prince Edward Island,8,38,130.1,88.66,0.0935781962802667,0.09830806643555648,0.09175953528626682,0.09488157461034985,Normal Load
Quebec,38,150,597.68,381.36,0.44449643233126684,0.38805815698245977,0.4215437282851341,0.40812133198063416,Normal Load
Rhode Island,46,199,805.76,501.84000000000003,0.5380746286115335,0.51482382159673,0.5683025607399106,0.5370558245258061,Normal Load
Saskatchewan,2,9,29.25,18.99,0.023394549070066675,0.023283489418947586,0.02063002618849581,0.020322593072981544,Normal Load
South Carolina,34,172,601.07,398.83,0.39770733419113347,0.4449733533398872,0.4239346954228778,0.4268172614690484,Normal Load
South Dakota,8,42,151.34,104.14,0.0935781962802667,0.10865628395508872,0.10674010814929763,0.11144785901107414,Normal Load
Tennessee,151,681,2383.56,1573.52,1.766288454790034,1.7617840327003673,1.6811249648496092,1.6839392655185845,Normal Load
Texas,833,3724,13416.09,8909.53,9.74382968768277,9.634190510684535,9.462368822127068,9.534742109611443,High Load
Utah,44,219,856.41,556.21,0.5146800795414668,0.5665649091943913,0.6040260077979382,0.5952411528764121,Normal Load
Vermont,10,50,162.44,109.98,0.11697274535033338,0.12935271899415327,0.11456893860031656,0.11769767173072726,Normal Load
Virginia,185,893,3177.84,2080.84,2.1639957889811674,2.3102395612355773,2.2413306811230607,2.22685964033612,Normal Load
Washington,432,1883,6921.15,4566.64,5.0532225991344015,4.871423397319812,4.881487376222488,4.887096705150102,High Load
West Virginia,4,18,63.97,43.89,0.04678909814013335,0.04656697883789517,0.045118043599250486,0.046969911004379146,Normal Load
Wisconsin,91,463,1920.5,1219.58,1.0644519826880336,1.1978061778858593,1.3545287280343998,1.3051620884648147,Normal Load
Wyoming,1,4,13.96,9.96,0.011697274535033338,0.01034821751953226,0.009845988567227402,0.010658927172559042,Normal Load
